State,Area_Key,Tenure,Primary_Type,Median_PSF,Transactions,Median_Price
Perak,PERAK | IPOH,Leasehold,Terrace House,369.0,91,588800.0
Johor,JOHOR | KLUANG,Freehold,Terrace House,119.0,89,250750.0
Johor,JOHOR | SENAI,Freehold,Terrace House,591.0,89,839000.0
Melaka,MELAKA | TANJONG MINYAK,Freehold,Semi D,185.0,89,453000.0
Johor,JOHOR | KOTA TINGGI,Leasehold,Terrace House,160.0,89,246600.0
Johor,JOHOR | SKUDAI,Freehold,Cluster House,252.0,88,564230.0
Selangor,SELANGOR | KLANG,Freehold,Semi D,446.0,88,804000.0
Johor,JOHOR | KOTA TINGGI,Freehold,Terrace House,405.0,87,713000.0
Negeri Sembilan,NEGERI SEMBILAN | LABU,Freehold,Terrace House,267.0,87,400000.0
Negeri Sembilan,NEGERI SEMBILAN | JIMAH,Freehold,Terrace House,179.0,86,220000.0
Penang,PENANG | SUNGAI BAKAP,Freehold,Semi D,241.0,85,675000.0
Selangor,SELANGOR | BATU CAVES,Freehold,Terrace House,556.0,85,450000.0
Selangor,SELANGOR | DAMANSARA PERDANA,Leasehold,Apartment,447.0,85,380000.0
Pahang,PAHANG | KUANTAN,Leasehold,Terrace House,334.0,84,582222.0
Perak,PERAK | KAMPAR,Leasehold,Terrace House,214.0,83,300000.0
Negeri Sembilan,NEGERI SEMBILAN | SEREMBAN 2,Freehold,Terrace House,464.0,83,775800.0
Perak,PERAK | SITIAWAN,Freehold,Terrace House,179.0,82,250000.0
Perak,PERAK | IPOH,Leasehold,Terrace House,186.0,82,260000.0
Negeri Sembilan,NEGERI SEMBILAN | PASIR PANJANG,Freehold,Terrace House,183.0,82,250000.0
Pahang,PAHANG | KUANTAN,Leasehold,Terrace House,271.0,82,431167.0
Selangor,SELANGOR | SHAH ALAM,Freehold,Bungalow,437.0,81,980000.0
Terengganu,TERENGGANU | KIJAL,Freehold,Semi D,126.0,81,320000.0
Negeri Sembilan,NEGERI SEMBILAN | JIMAH,Freehold,Terrace House,483.0,80,675888.0
Johor,JOHOR | SEGAMAT,Freehold,Terrace House,208.0,80,349350.0
