Model,Group_CV_RMSE_mean,Group_CV_RMSE_std,Group_CV_MAE_mean,Group_CV_R2_mean,Within_1pct_of_best_CV,Selected_Model,Group_CV_Rank,RMSE_train,RMSE_test,MAE_test,MAPE_test_pct,R2_test,Gap_RMSE,Test_Rank
XGBoost,279063.77873930795,196101.98217742992,121572.43599108359,0.6422078647575347,True,False,1.0,112005.28001400901,158972.304800328,83821.34462517076,21.006722484059683,0.762857589903449,46967.024786319,2.0
Random Forest,279261.06586243096,194229.2893904867,123987.73595004878,0.6392793272703243,True,True,2.0,229124.76178004447,131393.11174253654,85495.87753195778,21.915096101334107,0.8380013169943836,-97731.65003750793,1.0
LightGBM,296705.8875333477,199776.310715038,130307.48465798571,0.5854188082017748,False,False,3.0,287981.89005174296,176629.690181228,92355.25617087266,21.373567667634944,0.707252158116846,-111352.19987051495,3.0
Decision Tree (Baseline),358155.05459033867,180728.30133767403,164442.40946803536,0.34416051657022206,False,False,4.0,437.31964283832474,248439.10187709436,120114.79781420765,26.11922582959125,0.4208298253958208,248001.78223425604,4.0
